,rooms,bedrooms,bathrooms,surface_total,surface_covered,price,property_type,variable,motivo
55457,4.0,3.0,3.0,,,380000.0,Departamento,surface_total,Descartado por dato faltante
55458,4.0,3.0,3.0,,,295000.0,Departamento,surface_total,Descartado por dato faltante
55459,4.0,3.0,2.0,,,310000.0,Departamento,surface_total,Descartado por dato faltante
55460,4.0,3.0,1.0,,,115000.0,Departamento,surface_total,Descartado por dato faltante
55461,4.0,3.0,3.0,,,195000.0,Departamento,surface_total,Descartado por dato faltante
55466,4.0,3.0,4.0,,,445000.0,Departamento,surface_total,Descartado por dato faltante
55467,4.0,3.0,3.0,,,195000.0,Departamento,surface_total,Descartado por dato faltante
55469,4.0,3.0,1.0,,,85000.0,Departamento,surface_total,Descartado por dato faltante
55473,4.0,3.0,2.0,,,238000.0,Departamento,surface_total,Descartado por dato faltante
55479,4.0,3.0,3.0,,,430000.0,Departamento,surface_total,Descartado por dato faltante
55480,4.0,3.0,2.0,,,300000.0,Departamento,surface_total,Descartado por dato faltante
55481,4.0,3.0,2.0,,,289000.0,Departamento,surface_total,Descartado por dato faltante
55484,4.0,3.0,2.0,,,185000.0,Departamento,surface_total,Descartado por dato faltante
55485,4.0,3.0,2.0,,,190000.0,Departamento,surface_total,Descartado por dato faltante
55489,4.0,3.0,2.0,,,189000.0,Departamento,surface_total,Descartado por dato faltante
55491,4.0,3.0,3.0,,,267000.0,Departamento,surface_total,Descartado por dato faltante
55492,4.0,3.0,2.0,,,270000.0,Departamento,surface_total,Descartado por dato faltante
55495,4.0,3.0,2.0,,,200000.0,Departamento,surface_total,Descartado por dato faltante
55497,4.0,3.0,1.0,,,210000.0,Departamento,surface_total,Descartado por dato faltante
55498,4.0,3.0,3.0,,,400000.0,Departamento,surface_total,Descartado por dato faltante
55499,4.0,3.0,3.0,,,330000.0,Departamento,surface_total,Descartado por dato faltante
55500,4.0,3.0,3.0,,,280000.0,Departamento,surface_total,Descartado por dato faltante
55501,4.0,3.0,1.0,,,135000.0,Departamento,surface_total,Descartado por dato faltante
55502,4.0,3.0,1.0,,,120000.0,Departamento,surface_total,Descartado por dato faltante
55503,4.0,3.0,3.0,,,420000.0,Departamento,surface_total,Descartado por dato faltante
55515,4.0,3.0,2.0,,,380000.0,Departamento,surface_total,Descartado por dato faltante
55517,4.0,3.0,2.0,,,160000.0,Departamento,surface_total,Descartado por dato faltante
55520,4.0,3.0,2.0,,,129000.0,Departamento,surface_total,Descartado por dato faltante
55521,4.0,3.0,3.0,,,184000.0,Departamento,surface_total,Descartado por dato faltante
55522,4.0,3.0,3.0,,,185000.0,Departamento,surface_total,Descartado por dato faltante
55528,4.0,3.0,3.0,,,680000.0,Departamento,surface_total,Descartado por dato faltante
55529,4.0,3.0,4.0,,,1000000.0,Departamento,surface_total,Descartado por dato faltante
55530,4.0,3.0,2.0,,,210000.0,Departamento,surface_total,Descartado por dato faltante
55531,4.0,3.0,2.0,,,503000.0,Departamento,surface_total,Descartado por dato faltante
55533,4.0,3.0,2.0,,,418500.0,Departamento,surface_total,Descartado por dato faltante
55534,4.0,3.0,2.0,,,385000.0,Departamento,surface_total,Descartado por dato faltante
55535,4.0,3.0,2.0,,,489000.0,Departamento,surface_total,Descartado por dato faltante
55536,4.0,3.0,2.0,,,460000.0,Departamento,surface_total,Descartado por dato faltante
55537,4.0,3.0,2.0,,,262500.0,Departamento,surface_total,Descartado por dato faltante
55538,4.0,3.0,2.0,,,475000.0,Departamento,surface_total,Descartado por dato faltante
55539,4.0,3.0,2.0,,,432000.0,Departamento,surface_total,Descartado por dato faltante
55543,4.0,3.0,2.0,,,148000.0,Departamento,surface_total,Descartado por dato faltante
55569,5.0,4.0,3.0,,,730000.0,Casa,surface_total,Descartado por dato faltante
55570,5.0,4.0,2.0,,,170000.0,Casa,surface_total,Descartado por dato faltante
55571,5.0,4.0,3.0,,,300000.0,Casa,surface_total,Descartado por dato faltante
55579,5.0,4.0,3.0,,,340000.0,Casa,surface_total,Descartado por dato faltante
55603,5.0,4.0,4.0,,,680000.0,Departamento,surface_total,Descartado por dato faltante
55612,6.0,5.0,4.0,,,550000.0,Casa,surface_total,Descartado por dato faltante
55613,6.0,5.0,3.0,,,250000.0,Casa,surface_total,Descartado por dato faltante
55614,6.0,5.0,3.0,,,950000.0,Casa,surface_total,Descartado por dato faltante
56300,4.0,3.0,3.0,,,370000.0,Departamento,surface_total,Descartado por dato faltante
56358,1.0,1.0,1.0,,24.0,67000.0,Departamento,surface_total,Descartado por dato faltante
56494,2.0,1.0,1.0,,1.0,155000.0,Departamento,surface_total,Descartado por dato faltante
56786,11.0,7.0,2.0,,212.0,240000.0,Casa,surface_total,Descartado por dato faltante
56932,4.0,3.0,2.0,,,160000.0,Departamento,surface_total,Descartado por dato faltante
57339,1.0,1.0,1.0,,,94300.0,Departamento,surface_total,Descartado por dato faltante
57368,2.0,1.0,1.0,,,128800.0,Departamento,surface_total,Descartado por dato faltante
57435,3.0,2.0,1.0,,,204700.0,Departamento,surface_total,Descartado por dato faltante
57569,1.0,0.0,1.0,,,52894.0,Departamento,surface_total,Descartado por dato faltante
57570,1.0,0.0,1.0,,,56682.0,Departamento,surface_total,Descartado por dato faltante
57571,1.0,0.0,1.0,,,58396.0,Departamento,surface_total,Descartado por dato faltante
57572,1.0,0.0,1.0,,,59542.0,Departamento,surface_total,Descartado por dato faltante
57573,1.0,0.0,1.0,,,59562.0,Departamento,surface_total,Descartado por dato faltante
57574,1.0,0.0,1.0,,,61346.0,Departamento,surface_total,Descartado por dato faltante
57575,1.0,0.0,1.0,,,62787.0,Departamento,surface_total,Descartado por dato faltante
57578,1.0,0.0,1.0,,,68528.0,Departamento,surface_total,Descartado por dato faltante
57579,1.0,0.0,1.0,,,69228.0,Departamento,surface_total,Descartado por dato faltante
57580,1.0,0.0,1.0,,,70543.0,Departamento,surface_total,Descartado por dato faltante
57581,1.0,0.0,1.0,,,71241.0,Departamento,surface_total,Descartado por dato faltante
57582,1.0,0.0,1.0,,,76828.0,Departamento,surface_total,Descartado por dato faltante
57604,1.0,0.0,1.0,,,77900.0,Departamento,surface_total,Descartado por dato faltante
57605,1.0,0.0,1.0,,,75000.0,Departamento,surface_total,Descartado por dato faltante
57619,1.0,0.0,1.0,,,90000.0,Departamento,surface_total,Descartado por dato faltante
57620,1.0,0.0,1.0,,,142600.0,Departamento,surface_total,Descartado por dato faltante
57621,1.0,0.0,1.0,,,72169.0,Departamento,surface_total,Descartado por dato faltante
57623,1.0,0.0,1.0,,,75000.0,Departamento,surface_total,Descartado por dato faltante
57624,1.0,0.0,1.0,,,75000.0,Departamento,surface_total,Descartado por dato faltante
57625,1.0,0.0,1.0,,,75000.0,Departamento,surface_total,Descartado por dato faltante
57626,1.0,0.0,1.0,,,75000.0,Departamento,surface_total,Descartado por dato faltante
57668,1.0,0.0,2.0,,,84500.0,Departamento,surface_total,Descartado por dato faltante
57669,1.0,0.0,1.0,,,88401.0,Departamento,surface_total,Descartado por dato faltante
57671,1.0,0.0,1.0,,,91758.0,Departamento,surface_total,Descartado por dato faltante
57675,1.0,0.0,1.0,,,95858.0,Departamento,surface_total,Descartado por dato faltante
57677,1.0,0.0,1.0,,,98397.0,Departamento,surface_total,Descartado por dato faltante
57678,1.0,0.0,1.0,,,137706.0,Departamento,surface_total,Descartado por dato faltante
57679,1.0,0.0,1.0,,,139166.0,Departamento,surface_total,Descartado por dato faltante
57680,1.0,0.0,1.0,,,88900.0,Departamento,surface_total,Descartado por dato faltante
57681,1.0,0.0,1.0,,,129000.0,Departamento,surface_total,Descartado por dato faltante
57682,1.0,0.0,1.0,,,129900.0,Departamento,surface_total,Descartado por dato faltante
57683,1.0,0.0,1.0,,,129900.0,Departamento,surface_total,Descartado por dato faltante
57684,1.0,0.0,1.0,,,145000.0,Departamento,surface_total,Descartado por dato faltante
57685,1.0,0.0,2.0,,,93000.0,Departamento,surface_total,Descartado por dato faltante
57686,1.0,0.0,2.0,,,102254.0,Departamento,surface_total,Descartado por dato faltante
57687,1.0,0.0,1.0,,,85000.0,Departamento,surface_total,Descartado por dato faltante
57688,1.0,0.0,1.0,,,85000.0,Departamento,surface_total,Descartado por dato faltante
57689,1.0,0.0,1.0,,,85000.0,Departamento,surface_total,Descartado por dato faltante
57690,1.0,0.0,1.0,,,85000.0,Departamento,surface_total,Descartado por dato faltante
57692,1.0,0.0,1.0,,,87000.0,Departamento,surface_total,Descartado por dato faltante
57693,1.0,0.0,1.0,,,93191.0,Departamento,surface_total,Descartado por dato faltante
57694,1.0,0.0,1.0,,,93886.0,Departamento,surface_total,Descartado por dato faltante
57695,1.0,0.0,1.0,,,96668.0,Departamento,surface_total,Descartado por dato faltante
57696,1.0,0.0,1.0,,,98245.0,Departamento,surface_total,Descartado por dato faltante
57697,1.0,0.0,1.0,,,98755.0,Departamento,surface_total,Descartado por dato faltante
57698,1.0,0.0,1.0,,,99859.0,Departamento,surface_total,Descartado por dato faltante
57699,1.0,0.0,1.0,,,100250.0,Departamento,surface_total,Descartado por dato faltante
57700,1.0,0.0,1.0,,,101097.0,Departamento,surface_total,Descartado por dato faltante
57701,1.0,0.0,1.0,,,101874.0,Departamento,surface_total,Descartado por dato faltante
57702,1.0,0.0,1.0,,,102400.0,Departamento,surface_total,Descartado por dato faltante
57703,1.0,0.0,1.0,,,102756.0,Departamento,surface_total,Descartado por dato faltante
57704,1.0,0.0,1.0,,,103041.0,Departamento,surface_total,Descartado por dato faltante
57705,1.0,0.0,1.0,,,104260.0,Departamento,surface_total,Descartado por dato faltante
57706,1.0,0.0,1.0,,,104985.0,Departamento,surface_total,Descartado por dato faltante
57708,1.0,0.0,1.0,,,106151.0,Departamento,surface_total,Descartado por dato faltante
57709,1.0,0.0,1.0,,,107318.0,Departamento,surface_total,Descartado por dato faltante
57711,1.0,0.0,1.0,,,109300.0,Departamento,surface_total,Descartado por dato faltante
57713,1.0,0.0,1.0,,,113300.0,Departamento,surface_total,Descartado por dato faltante
57714,1.0,0.0,1.0,,,114055.0,Departamento,surface_total,Descartado por dato faltante
57715,1.0,0.0,1.0,,,114055.0,Departamento,surface_total,Descartado por dato faltante
57716,1.0,0.0,1.0,,,119500.0,Departamento,surface_total,Descartado por dato faltante
57717,1.0,0.0,2.0,,,119600.0,Departamento,surface_total,Descartado por dato faltante
57718,1.0,0.0,1.0,,,120598.0,Departamento,surface_total,Descartado por dato faltante
57719,1.0,0.0,1.0,,,121923.0,Departamento,surface_total,Descartado por dato faltante
57720,1.0,0.0,1.0,,,123400.0,Departamento,surface_total,Descartado por dato faltante
57721,1.0,0.0,1.0,,,129000.0,Departamento,surface_total,Descartado por dato faltante
57722,1.0,0.0,1.0,,,131000.0,Departamento,surface_total,Descartado por dato faltante
57723,1.0,0.0,1.0,,,132000.0,Departamento,surface_total,Descartado por dato faltante
57725,1.0,0.0,1.0,,,155400.0,Departamento,surface_total,Descartado por dato faltante
57726,1.0,0.0,1.0,,,160000.0,Departamento,surface_total,Descartado por dato faltante
57727,1.0,0.0,1.0,,,175000.0,Departamento,surface_total,Descartado por dato faltante
57728,1.0,0.0,1.0,,,119000.0,Departamento,surface_total,Descartado por dato faltante
57729,1.0,0.0,1.0,,,122500.0,Departamento,surface_total,Descartado por dato faltante
57730,1.0,0.0,1.0,,,104000.0,Departamento,surface_total,Descartado por dato faltante
57731,1.0,0.0,1.0,,,108000.0,Departamento,surface_total,Descartado por dato faltante
57732,1.0,0.0,1.0,,,111700.0,Departamento,surface_total,Descartado por dato faltante
57733,1.0,0.0,1.0,,,115000.0,Departamento,surface_total,Descartado por dato faltante
57734,1.0,0.0,1.0,,,115825.0,Departamento,surface_total,Descartado por dato faltante
57735,1.0,0.0,1.0,,,119000.0,Departamento,surface_total,Descartado por dato faltante
57736,1.0,0.0,1.0,,,119961.0,Departamento,surface_total,Descartado por dato faltante
57737,1.0,0.0,1.0,,,124100.0,Departamento,surface_total,Descartado por dato faltante
57738,1.0,0.0,1.0,,,128235.0,Departamento,surface_total,Descartado por dato faltante
57739,1.0,0.0,1.0,,,129600.0,Departamento,surface_total,Descartado por dato faltante
57740,1.0,0.0,1.0,,,132000.0,Departamento,surface_total,Descartado por dato faltante
57741,1.0,0.0,1.0,,,132400.0,Departamento,surface_total,Descartado por dato faltante
57743,1.0,0.0,1.0,,,136000.0,Departamento,surface_total,Descartado por dato faltante
57744,1.0,0.0,1.0,,,137400.0,Departamento,surface_total,Descartado por dato faltante
57745,1.0,0.0,1.0,,,142433.0,Departamento,surface_total,Descartado por dato faltante
57746,1.0,0.0,1.0,,,147520.0,Departamento,surface_total,Descartado por dato faltante
57747,1.0,0.0,1.0,,,149000.0,Departamento,surface_total,Descartado por dato faltante
57748,1.0,0.0,1.0,,,150000.0,Departamento,surface_total,Descartado por dato faltante
57749,1.0,0.0,1.0,,,152607.0,Departamento,surface_total,Descartado por dato faltante
57750,1.0,0.0,1.0,,,157700.0,Departamento,surface_total,Descartado por dato faltante
57751,1.0,0.0,1.0,,,162800.0,Departamento,surface_total,Descartado por dato faltante
57752,1.0,0.0,1.0,,,167900.0,Departamento,surface_total,Descartado por dato faltante
57772,1.0,0.0,1.0,,,87841.0,Departamento,surface_total,Descartado por dato faltante
57773,1.0,0.0,1.0,,,89356.0,Departamento,surface_total,Descartado por dato faltante
57774,1.0,0.0,1.0,,,90870.0,Departamento,surface_total,Descartado por dato faltante
57775,1.0,0.0,1.0,,,92385.0,Departamento,surface_total,Descartado por dato faltante
57776,1.0,0.0,1.0,,,93899.0,Departamento,surface_total,Descartado por dato faltante
57777,1.0,0.0,1.0,,,95414.0,Departamento,surface_total,Descartado por dato faltante
57778,1.0,0.0,1.0,,,96690.0,Departamento,surface_total,Descartado por dato faltante
57779,1.0,0.0,1.0,,,96928.0,Departamento,surface_total,Descartado por dato faltante
57780,1.0,0.0,1.0,,,97000.0,Departamento,surface_total,Descartado por dato faltante
57781,1.0,0.0,1.0,,,98302.0,Departamento,surface_total,Descartado por dato faltante
57782,1.0,0.0,1.0,,,99913.0,Departamento,surface_total,Descartado por dato faltante
57783,1.0,0.0,1.0,,,101525.0,Departamento,surface_total,Descartado por dato faltante
57784,1.0,0.0,1.0,,,103136.0,Departamento,surface_total,Descartado por dato faltante
57785,1.0,0.0,1.0,,,104748.0,Departamento,surface_total,Descartado por dato faltante
57786,1.0,0.0,1.0,,,106359.0,Departamento,surface_total,Descartado por dato faltante
57787,1.0,0.0,1.0,,,118000.0,Departamento,surface_total,Descartado por dato faltante
57788,1.0,0.0,1.0,,,119000.0,Departamento,surface_total,Descartado por dato faltante
57789,1.0,0.0,1.0,,,98000.0,Departamento,surface_total,Descartado por dato faltante
57791,1.0,0.0,1.0,,,75000.0,Departamento,surface_total,Descartado por dato faltante
57792,1.0,0.0,1.0,,,50000.0,Departamento,surface_total,Descartado por dato faltante
57793,1.0,0.0,1.0,,,52000.0,Departamento,surface_total,Descartado por dato faltante
57794,1.0,0.0,1.0,,,53000.0,Departamento,surface_total,Descartado por dato faltante
57795,1.0,0.0,1.0,,,53000.0,Departamento,surface_total,Descartado por dato faltante
57796,1.0,0.0,1.0,,,54000.0,Departamento,surface_total,Descartado por dato faltante
57797,1.0,0.0,1.0,,,55000.0,Departamento,surface_total,Descartado por dato faltante
57798,1.0,0.0,1.0,,,55920.0,Departamento,surface_total,Descartado por dato faltante
57799,1.0,0.0,1.0,,,56720.0,Departamento,surface_total,Descartado por dato faltante
57800,1.0,0.0,1.0,,,57690.0,Departamento,surface_total,Descartado por dato faltante
57801,1.0,0.0,1.0,,,58000.0,Departamento,surface_total,Descartado por dato faltante
57802,1.0,0.0,1.0,,,58000.0,Departamento,surface_total,Descartado por dato faltante
57803,1.0,0.0,1.0,,,58400.0,Departamento,surface_total,Descartado por dato faltante
57804,1.0,0.0,1.0,,,58600.0,Departamento,surface_total,Descartado por dato faltante
57805,1.0,0.0,1.0,,,58700.0,Departamento,surface_total,Descartado por dato faltante
57806,1.0,0.0,1.0,,,59910.0,Departamento,surface_total,Descartado por dato faltante
57807,1.0,0.0,1.0,,,60600.0,Departamento,surface_total,Descartado por dato faltante
57808,1.0,0.0,1.0,,,60710.0,Departamento,surface_total,Descartado por dato faltante
57809,1.0,0.0,1.0,,,61000.0,Departamento,surface_total,Descartado por dato faltante
57810,1.0,0.0,1.0,,,61200.0,Departamento,surface_total,Descartado por dato faltante
57811,1.0,0.0,1.0,,,61300.0,Departamento,surface_total,Descartado por dato faltante
57812,1.0,0.0,1.0,,,61300.0,Departamento,surface_total,Descartado por dato faltante
57813,1.0,0.0,1.0,,,61500.0,Departamento,surface_total,Descartado por dato faltante
57814,1.0,0.0,1.0,,,61600.0,Departamento,surface_total,Descartado por dato faltante
57815,1.0,0.0,1.0,,,62000.0,Departamento,surface_total,Descartado por dato faltante
57816,1.0,0.0,1.0,,,62000.0,Departamento,surface_total,Descartado por dato faltante
57817,1.0,0.0,1.0,,,62000.0,Departamento,surface_total,Descartado por dato faltante
57818,1.0,0.0,1.0,,,62300.0,Departamento,surface_total,Descartado por dato faltante
57819,1.0,0.0,1.0,,,62460.0,Departamento,surface_total,Descartado por dato faltante
57820,1.0,0.0,1.0,,,63400.0,Departamento,surface_total,Descartado por dato faltante
57821,1.0,0.0,1.0,,,63500.0,Departamento,surface_total,Descartado por dato faltante
57822,1.0,0.0,1.0,,,63900.0,Departamento,surface_total,Descartado por dato faltante
57823,1.0,0.0,1.0,,,64500.0,Departamento,surface_total,Descartado por dato faltante
57824,1.0,0.0,1.0,,,64500.0,Departamento,surface_total,Descartado por dato faltante
57825,1.0,0.0,1.0,,,64500.0,Departamento,surface_total,Descartado por dato faltante
57826,1.0,0.0,1.0,,,64500.0,Departamento,surface_total,Descartado por dato faltante
57827,1.0,0.0,1.0,,,65000.0,Departamento,surface_total,Descartado por dato faltante
57828,1.0,0.0,1.0,,,65062.0,Departamento,surface_total,Descartado por dato faltante
57829,1.0,0.0,1.0,,,65100.0,Departamento,surface_total,Descartado por dato faltante
57830,1.0,0.0,1.0,,,65500.0,Departamento,surface_total,Descartado por dato faltante
57831,1.0,0.0,1.0,,,65800.0,Departamento,surface_total,Descartado por dato faltante
57832,1.0,0.0,1.0,,,66000.0,Departamento,surface_total,Descartado por dato faltante
57833,1.0,0.0,1.0,,,67000.0,Departamento,surface_total,Descartado por dato faltante
57834,1.0,0.0,1.0,,,67100.0,Departamento,surface_total,Descartado por dato faltante
57835,1.0,0.0,1.0,,,67500.0,Departamento,surface_total,Descartado por dato faltante
57836,1.0,0.0,1.0,,,67500.0,Departamento,surface_total,Descartado por dato faltante
57837,1.0,0.0,1.0,,,68000.0,Departamento,surface_total,Descartado por dato faltante
57838,1.0,0.0,1.0,,,68000.0,Departamento,surface_total,Descartado por dato faltante
57839,1.0,0.0,1.0,,,68000.0,Departamento,surface_total,Descartado por dato faltante
57840,1.0,0.0,1.0,,,68000.0,Departamento,surface_total,Descartado por dato faltante
57841,1.0,0.0,1.0,,,68000.0,Departamento,surface_total,Descartado por dato faltante
57842,1.0,0.0,1.0,,,68500.0,Departamento,surface_total,Descartado por dato faltante
57843,1.0,0.0,1.0,,,68700.0,Departamento,surface_total,Descartado por dato faltante
57844,1.0,0.0,1.0,,,69000.0,Departamento,surface_total,Descartado por dato faltante
57845,1.0,0.0,1.0,,,69136.0,Departamento,surface_total,Descartado por dato faltante
57846,1.0,0.0,1.0,,,69136.0,Departamento,surface_total,Descartado por dato faltante
57847,1.0,0.0,1.0,,,69400.0,Departamento,surface_total,Descartado por dato faltante
57848,1.0,0.0,1.0,,,69821.0,Departamento,surface_total,Descartado por dato faltante
57849,1.0,0.0,1.0,,,70000.0,Departamento,surface_total,Descartado por dato faltante
57850,1.0,0.0,1.0,,,70000.0,Departamento,surface_total,Descartado por dato faltante
57851,1.0,0.0,1.0,,,71000.0,Departamento,surface_total,Descartado por dato faltante
57852,1.0,0.0,1.0,,,71000.0,Departamento,surface_total,Descartado por dato faltante
57853,1.0,0.0,1.0,,,71000.0,Departamento,surface_total,Descartado por dato faltante
57854,1.0,0.0,1.0,,,71200.0,Departamento,surface_total,Descartado por dato faltante
57855,1.0,0.0,1.0,,,71300.0,Departamento,surface_total,Descartado por dato faltante
57856,1.0,0.0,1.0,,,71400.0,Departamento,surface_total,Descartado por dato faltante
57857,1.0,0.0,1.0,,,71500.0,Departamento,surface_total,Descartado por dato faltante
57858,1.0,0.0,1.0,,,72000.0,Departamento,surface_total,Descartado por dato faltante
57859,1.0,0.0,1.0,,,72000.0,Departamento,surface_total,Descartado por dato faltante
57860,1.0,0.0,1.0,,,72000.0,Departamento,surface_total,Descartado por dato faltante
57861,1.0,0.0,1.0,,,72500.0,Departamento,surface_total,Descartado por dato faltante
57862,1.0,0.0,1.0,,,72500.0,Departamento,surface_total,Descartado por dato faltante
57863,1.0,0.0,1.0,,,72500.0,Departamento,surface_total,Descartado por dato faltante
57864,1.0,0.0,1.0,,,72900.0,Departamento,surface_total,Descartado por dato faltante
57865,1.0,0.0,1.0,,,73000.0,Departamento,surface_total,Descartado por dato faltante
57866,1.0,0.0,1.0,,,73500.0,Departamento,surface_total,Descartado por dato faltante
57867,1.0,0.0,1.0,,,74000.0,Departamento,surface_total,Descartado por dato faltante
57868,1.0,0.0,1.0,,,74000.0,Departamento,surface_total,Descartado por dato faltante
57869,1.0,0.0,1.0,,,74000.0,Departamento,surface_total,Descartado por dato faltante
57870,1.0,0.0,1.0,,,74000.0,Departamento,surface_total,Descartado por dato faltante
57871,1.0,0.0,1.0,,,74500.0,Departamento,surface_total,Descartado por dato faltante
57872,1.0,0.0,1.0,,,74700.0,Departamento,surface_total,Descartado por dato faltante
57873,1.0,0.0,1.0,,,74800.0,Departamento,surface_total,Descartado por dato faltante
57874,1.0,0.0,1.0,,,75000.0,Departamento,surface_total,Descartado por dato faltante
57875,1.0,0.0,1.0,,,75200.0,Departamento,surface_total,Descartado por dato faltante
57876,1.0,0.0,1.0,,,76000.0,Departamento,surface_total,Descartado por dato faltante
57877,1.0,0.0,1.0,,,76000.0,Departamento,surface_total,Descartado por dato faltante
57878,1.0,0.0,1.0,,,76200.0,Departamento,surface_total,Descartado por dato faltante
57879,1.0,0.0,1.0,,,76325.0,Departamento,surface_total,Descartado por dato faltante
57880,1.0,0.0,1.0,,,77000.0,Departamento,surface_total,Descartado por dato faltante
57881,1.0,0.0,1.0,,,78000.0,Departamento,surface_total,Descartado por dato faltante
57882,1.0,0.0,1.0,,,78000.0,Departamento,surface_total,Descartado por dato faltante
57883,1.0,0.0,1.0,,,78000.0,Departamento,surface_total,Descartado por dato faltante
57884,1.0,0.0,1.0,,,78036.0,Departamento,surface_total,Descartado por dato faltante
57885,1.0,0.0,1.0,,,78764.0,Departamento,surface_total,Descartado por dato faltante
57886,1.0,0.0,1.0,,,79000.0,Departamento,surface_total,Descartado por dato faltante
57887,1.0,0.0,1.0,,,79500.0,Departamento,surface_total,Descartado por dato faltante
57888,1.0,0.0,1.0,,,79600.0,Departamento,surface_total,Descartado por dato faltante
57889,1.0,0.0,1.0,,,80000.0,Departamento,surface_total,Descartado por dato faltante
57890,1.0,0.0,1.0,,,80000.0,Departamento,surface_total,Descartado por dato faltante
57891,1.0,0.0,1.0,,,81300.0,Departamento,surface_total,Descartado por dato faltante
57892,1.0,0.0,1.0,,,82000.0,Departamento,surface_total,Descartado por dato faltante
57893,1.0,0.0,1.0,,,82000.0,Departamento,surface_total,Descartado por dato faltante
57894,1.0,0.0,1.0,,,82250.0,Departamento,surface_total,Descartado por dato faltante
57895,1.0,0.0,1.0,,,83000.0,Departamento,surface_total,Descartado por dato faltante
57896,1.0,0.0,1.0,,,84545.0,Departamento,surface_total,Descartado por dato faltante
57897,1.0,0.0,1.0,,,85600.0,Departamento,surface_total,Descartado por dato faltante
57898,1.0,0.0,1.0,,,87000.0,Departamento,surface_total,Descartado por dato faltante
57899,1.0,0.0,1.0,,,89500.0,Departamento,surface_total,Descartado por dato faltante
57900,1.0,0.0,1.0,,,90000.0,Departamento,surface_total,Descartado por dato faltante
57901,1.0,0.0,1.0,,,90790.0,Departamento,surface_total,Descartado por dato faltante
57902,1.0,0.0,1.0,,,90944.0,Departamento,surface_total,Descartado por dato faltante
57903,1.0,0.0,1.0,,,91591.0,Departamento,surface_total,Descartado por dato faltante
57904,1.0,0.0,1.0,,,93000.0,Departamento,surface_total,Descartado por dato faltante
57905,1.0,0.0,1.0,,,93537.0,Departamento,surface_total,Descartado por dato faltante
57906,1.0,0.0,1.0,,,94150.0,Departamento,surface_total,Descartado por dato faltante
57907,1.0,0.0,1.0,,,95113.0,Departamento,surface_total,Descartado por dato faltante
57908,1.0,0.0,1.0,,,98000.0,Departamento,surface_total,Descartado por dato faltante
57910,1.0,0.0,1.0,,,46567.0,Departamento,surface_total,Descartado por dato faltante
57911,1.0,0.0,1.0,,,53558.0,Departamento,surface_total,Descartado por dato faltante
57912,1.0,0.0,1.0,,,54529.0,Departamento,surface_total,Descartado por dato faltante
57915,1.0,0.0,1.0,,,65128.0,Departamento,surface_total,Descartado por dato faltante
57916,1.0,0.0,1.0,,,68351.0,Departamento,surface_total,Descartado por dato faltante
57917,1.0,0.0,1.0,,,68742.0,Departamento,surface_total,Descartado por dato faltante
57918,1.0,0.0,1.0,,,71685.0,Departamento,surface_total,Descartado por dato faltante
57919,1.0,0.0,1.0,,,77511.0,Departamento,surface_total,Descartado por dato faltante
57920,1.0,0.0,1.0,,,78098.0,Departamento,surface_total,Descartado por dato faltante
57922,1.0,0.0,1.0,,,79160.0,Departamento,surface_total,Descartado por dato faltante
57924,1.0,0.0,1.0,,,80262.0,Departamento,surface_total,Descartado por dato faltante
57926,1.0,0.0,1.0,,,80893.0,Departamento,surface_total,Descartado por dato faltante
57927,1.0,0.0,1.0,,,81364.0,Departamento,surface_total,Descartado por dato faltante
57928,1.0,0.0,1.0,,,81895.0,Departamento,surface_total,Descartado por dato faltante
57929,1.0,0.0,1.0,,,82467.0,Departamento,surface_total,Descartado por dato faltante
57931,1.0,0.0,1.0,,,83610.0,Departamento,surface_total,Descartado por dato faltante
57933,1.0,0.0,1.0,,,85000.0,Departamento,surface_total,Descartado por dato faltante
57934,1.0,0.0,1.0,,,86000.0,Departamento,surface_total,Descartado por dato faltante
57935,1.0,0.0,1.0,,,87000.0,Departamento,surface_total,Descartado por dato faltante
57937,1.0,0.0,1.0,,,95000.0,Departamento,surface_total,Descartado por dato faltante
57938,1.0,0.0,1.0,,,139500.0,Departamento,surface_total,Descartado por dato faltante
57939,1.0,0.0,1.0,,,143000.0,Departamento,surface_total,Descartado por dato faltante
57940,1.0,0.0,1.0,,,35700.0,Departamento,surface_total,Descartado por dato faltante
57941,1.0,0.0,1.0,,,36750.0,Departamento,surface_total,Descartado por dato faltante
57942,1.0,0.0,1.0,,,44200.0,Departamento,surface_total,Descartado por dato faltante
57943,1.0,0.0,1.0,,,46800.0,Departamento,surface_total,Descartado por dato faltante
57944,1.0,0.0,1.0,,,46800.0,Departamento,surface_total,Descartado por dato faltante
57945,1.0,0.0,1.0,,,49500.0,Departamento,surface_total,Descartado por dato faltante
57946,1.0,0.0,1.0,,,49500.0,Departamento,surface_total,Descartado por dato faltante
57947,1.0,0.0,1.0,,,57600.0,Departamento,surface_total,Descartado por dato faltante
57948,1.0,0.0,1.0,,,57600.0,Departamento,surface_total,Descartado por dato faltante
57949,1.0,0.0,1.0,,,59850.0,Departamento,surface_total,Descartado por dato faltante
57950,1.0,0.0,1.0,,,62700.0,Departamento,surface_total,Descartado por dato faltante
57951,1.0,0.0,1.0,,,63650.0,Departamento,surface_total,Descartado por dato faltante
57952,1.0,0.0,1.0,,,71800.0,Departamento,surface_total,Descartado por dato faltante
